qseqid	habitat
smORF_00	fermented food,lake associated,plant associated,soil
smORF_01	air,algae associated,bear gut,bird gut,built environment,cattle gut,chicken gut,coral associated,deer gut,extreme pH,fish gut,goat rumen,groundwater,hot spring associated,human gut,human mouth,human saliva,human skin,ice associated,insect associated,insect gut,lake associated,marine,mollusc associated,mouse gut,pig gut,plant associated,pond associated,primate gut,river associated,sediment,soil,wastewater,water associated
smORF_02	lake associated,plant associated
smORF_03	planarian associated,plant associated
smORF_04	activated sludge,built environment,fermented food,human gut,insect associated,lake associated,marine,mollusc associated,planarian associated,plant associated,primate gut,river associated,soil
smORF_05	air,built environment,chicken gut,human gut,human skin,plant associated
smORF_06	activated sludge,air,anthropogenic,bear gut,bird gut,built environment,cattle rumen,chicken gut,deer gut,extreme pH,fish gut,goat gut,goat rumen,human associated,human gut,human mouth,human respiratory tract,human saliva,human skin,ice associated,insect associated,lake associated,marine,mollusc associated,plant associated,primate gut,river associated,soil,wastewater,water associated
smORF_07	activated sludge,air,annelidae associated,anthropogenic,bear gut,beatle gut,bird gut,built environment,cattle associated,cattle gut,cattle rumen,chicken gut,deer gut,extreme pH,fermented food,fish gut,goat gut,goat rumen,groundwater,human associated,human gut,human mouth,human respiratory tract,human saliva,human skin,ice associated,insect associated,isolate,lake associated,marine,mollusc associated,pig gut,planarian associated,plant associated,pond associated,primate gut,river associated,sediment,soil,wastewater,water associated
smORF_08	activated sludge,air,bear gut,bee gut,bird gut,built environment,cattle associated,cattle rumen,chicken gut,fermented food,fish gut,goat gut,goat rumen,hot spring associated,human gut,human mouth,human respiratory tract,human saliva,human skin,ice associated,insect associated,lake associated,marine,mouse gut,pig gut,plant associated,primate gut,rat gut,river associated,soil,wastewater,water associated
smORF_09	plant associated
smORF_10	activated sludge,air,anthropogenic,bird gut,built environment,cattle gut,chicken gut,deer gut,extreme pH,fish gut,goat gut,goat rumen,groundwater,hot spring associated,human gut,human mouth,human saliva,human skin,ice associated,insect associated,isolate,lake associated,marine,planarian associated,plant associated,primate gut,river associated,sediment,soil,wastewater,water associated
smORF_11	activated sludge,air,annelidae associated,anthropogenic,bear gut,bee gut,bird gut,built environment,cattle gut,cattle rumen,chicken gut,deer gut,extreme pH,fermented food,fish gut,goat gut,goat rumen,groundwater,hot spring associated,human associated,human digestive tract,human gut,human mouth,human respiratory tract,human saliva,human skin,human urogenital tract,ice associated,insect associated,insect gut,isolate,lake associated,marine,mollusc associated,pig gut,planarian associated,plant associated,primate gut,river associated,soil,thermal vent associated,wastewater,water associated
smORF_12	activated sludge,air,algae associated,anthropogenic,bat gut,bear gut,beatle gut,bird gut,built environment,cattle associated,cattle gut,cattle rumen,chicken gut,coral associated,deer gut,extreme pH,fermented food,fish gut,goat gut,goat rumen,groundwater,hot spring associated,human associated,human gut,human mouth,human respiratory tract,human saliva,human skin,human urogenital tract,ice associated,insect associated,insect gut,lake associated,marine,mine,mollusc associated,mouse gut,pig gut,planarian associated,plant associated,pond associated,primate gut,river associated,sediment,soil,thermal vent associated,wastewater,water associated
